Local government area,LGA_CODE22,State,Households - at 2021,Current unmet need - Estimate,Current unmet need - % all households,Source of unmet need - Q1  rent stress,Source of unmet need - Q2  rent stress,Source of unmet need - Manifest (homeless),Current social housing - at 2021,Current social housing - % all need (met+unmet),Projected need by 2041 - Estimate,Projected need by 2041 - As annual SH growth,Projected need by 2041 - As average annual build
York,59370,WA,1500,100,0.033,0.789,0.175,0.036,100,0.5,100,0.045,<100
Break O'Day,60210,Tas,3200,300,0.087,0.561,0.341,0.097,100,0.212,300,0.081,<100
Brighton,60410,Tas,7200,500,0.075,0.784,0.153,0.064,1100,0.663,800,0.03,<100
Burnie,60610,Tas,8400,600,0.077,0.702,0.292,0.006,600,0.492,700,0.037,<100
Central Coast (Tas.),60810,Tas,9600,500,0.057,0.645,0.345,0.01,500,0.475,600,0.038,<100
Central Highlands (Tas.),61010,Tas,1100,<100,0.04,0.679,0.142,0.179,negligible,-,<100,-,<100
Circular Head,61210,Tas,3300,200,0.055,0.505,0.338,0.157,100,0.362,200,0.053,<100
Clarence,61410,Tas,24100,1200,0.051,0.604,0.335,0.061,1300,0.514,1700,0.043,<100
Derwent Valley,61510,Tas,4300,300,0.072,0.664,0.267,0.069,200,0.412,300,0.046,<100
Devonport,61610,Tas,11100,800,0.071,0.689,0.31,0.001,1100,0.585,800,0.028,<100
Dorset,61810,Tas,2900,200,0.06,0.492,0.368,0.14,100,0.359,200,0.053,<100
Flinders (Tas.),62010,Tas,400,-,-,-,-,-,-,-,-,-,-
George Town,62210,Tas,3000,300,0.094,0.707,0.275,0.017,200,0.413,300,0.046,<100
Glamorgan-Spring Bay,62410,Tas,2200,200,0.073,0.53,0.448,0.021,negligible,-,200,-,<100
Glenorchy,62610,Tas,20500,1700,0.082,0.652,0.334,0.014,1900,0.525,2400,0.042,100-200
Hobart,62810,Tas,22000,1200,0.055,0.528,0.459,0.013,900,0.438,1600,0.052,<100
Huon Valley,63010,Tas,7300,400,0.057,0.703,0.283,0.014,100,0.205,400,0.083,<100
Kentish,63210,Tas,2600,100,0.037,0.724,0.207,0.069,100,0.414,100,0.046,<100
King Island,63410,Tas,700,<100,0.047,0.18,0.629,0.19,negligible,-,<100,-,<100
Kingborough,63610,Tas,15400,800,0.052,0.548,0.384,0.068,500,0.368,900,0.055,<100
Latrobe (Tas.),63810,Tas,5100,300,0.054,0.621,0.366,0.013,200,0.431,300,0.043,<100
Launceston,64010,Tas,28600,2000,0.068,0.725,0.27,0.005,2000,0.502,2000,0.035,<100
